id,name,lat,lon,query,source,retrieved_at
capitol,Capitol Square,43.0747,-89.3842,"Capitol Square, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:19Z
king_st,King St & Main St,43.0747,-89.381,"King St & Main St, Madison, WI",Nominatim (OpenStreetMap),
willy_st,Williamson St,43.0767,-89.3739,"Williamson St, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:21Z
john_nolen,John Nolen Dr & Broom St,43.0528,-89.3787,"John Nolen Dr & Broom St, Madison, WI",Nominatim (OpenStreetMap),
state_frances,State St & Frances St,43.0751,-89.3957,"State St & Frances St, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:24Z
state_gilman,State St & Gilman St,43.0748,-89.3908,"State St & Gilman St, Madison, WI",Nominatim (OpenStreetMap),
library_mall,Library Mall,43.0753,-89.3991,"Library Mall, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:26Z
memorial_union,Memorial Union,43.0765,-89.4003,"Memorial Union, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:27Z
bascom_hill,Bascom Hill,43.0753,-89.4038,"Bascom Hill, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:28Z
camp_randall,Camp Randall Stadium,43.0701,-89.4127,"Camp Randall Stadium, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:30Z
regent_park,Regent St & Park St,43.0679,-89.4014,"Regent St & Park St, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:31Z
monroe_edgewood,Monroe St & Edgewood Ave,43.0564,-89.4301,"Monroe St & Edgewood Ave, Madison, WI",Nominatim (OpenStreetMap),
east_wash,East Washington Ave & Blair St,43.0805,-89.3761,"East Washington Ave & Blair St, Madison, WI",Nominatim (OpenStreetMap),
tenney_park,Tenney Park,43.0932,-89.3698,"Tenney Park, Madison, WI",Nominatim (OpenStreetMap),2026-09-17T18:04:35Z
