id,lat,lon
osm13150846976,43.075706,-89.396977
osm5017012822,43.0747932,-89.3902478
osm13150846977,43.0757134,-89.3968732
osm13150846978,43.0757041,-89.3968735
osm13150846979,43.0757131,-89.3968501
osm13150846980,43.0757125,-89.3968104
osm13150846982,43.0757322,-89.3967955
osm13150846981,43.0757122,-89.3967961
osm53346330,43.065156,-89.4600955
osm53346335,43.0651534,-89.4595129
osm6313476152,43.0839417,-89.4467153
osm387186778,43.0645292,-89.3897826
osm387186790,43.0670264,-89.3949481
osm1720713373,43.0479351,-89.4386511
osm1720713379,43.0616283,-89.4095935
osm1420820667,43.0498428,-89.3410872
osm1420820670,43.0497838,-89.3409101
osm387186883,43.0669483,-89.3856095
osm1420820680,43.0499077,-89.3408672
osm4095606995,43.0583086,-89.4069893
osm1420820699,43.0497047,-89.3410364
osm1420820707,43.0494294,-89.3409008
osm1420820708,43.0502406,-89.337999
osm53608677,43.037752,-89.447929
osm3298689261,43.0731566,-89.4674323
osm387186935,43.0671235,-89.3861994
osm1420820732,43.0496855,-89.3408948
osm1420820738,43.0508084,-89.3414365
osm1420820740,43.0498138,-89.3411868
osm5486805253,43.0819971,-89.3662818
osm5486805252,43.082056,-89.3662005
osm5717754120,43.0954527,-89.3244268
osm53608729,43.0401432,-89.4436441
osm53608730,43.0400928,-89.443801
osm53608737,43.0394052,-89.4452336
osm3760718118,43.0599658,-89.4456148
osm53608742,43.0393703,-89.4452515
osm3760718120,43.0598091,-89.4456148
osm53608744,43.0388031,-89.4455028
osm3760718121,43.0598284,-89.4437357
osm3760718123,43.0591586,-89.4437378
osm3760718124,43.056672,-89.44552
osm3760718125,43.0566832,-89.4437456
osm3760718122,43.0591408,-89.4455496
osm3760718127,43.0565371,-89.4437461
osm3760718128,43.0558425,-89.4455354
osm3760718129,43.0558627,-89.4437482
osm3760718130,43.0562061,-89.4438182
osm3760718131,43.0558626,-89.4438089
osm6193788697,43.0462756,-89.3799519
osm1720713581,43.0480588,-89.439082
osm12645826934,43.0739751,-89.3975331
osm13107986807,43.0774315,-89.3802452
osm1720713593,43.0612133,-89.4102468
osm12645826939,43.0741923,-89.3982429
osm1720713597,43.0615983,-89.4095346
osm1720713598,43.0610221,-89.4099499
osm5631115651,43.0515032,-89.4698701
osm13107986823,43.0778504,-89.379742
osm5631115658,43.0511122,-89.4700267
osm5631115663,43.052194,-89.4685932
osm13107986833,43.0779399,-89.3798338
osm13107986834,43.0778591,-89.3797298
