from,to,meters,highway,surface,incline,sidewalk,maxspeed,name
osm445963180,osm11990430183,7.51,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm11990430183,osm445963180,7.51,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm11990430183,osm442439694,18.54,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm442439694,osm11990430183,18.54,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm442439694,osm11990422417,13.18,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm11990422417,osm442439694,13.18,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm11990422417,osm1188576956,28.35,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm1188576956,osm11990422417,28.35,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm1188576956,osm5448435553,134.07,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435553,osm1188576956,134.07,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435553,osm5448435559,55.32,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435559,osm5448435553,55.32,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435559,osm5448435575,29.47,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435575,osm5448435559,29.47,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435575,osm5448435580,51.16,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435580,osm5448435575,51.16,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435580,osm5448435584,49.48,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435584,osm5448435580,49.48,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm5448435584,osm2993379344,54.74,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm2993379344,osm5448435584,54.74,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm2993379344,osm320758023,63.27,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm320758023,osm2993379344,63.27,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm320758023,osm37923758,9.72,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm37923758,osm320758023,9.72,tertiary,asphalt,10%,,20 mph,Observatory Drive
osm37923758,osm2993379354,11.76,tertiary,asphalt,,,25 mph,North Charter Street
osm2993379354,osm37923758,11.76,tertiary,asphalt,,,25 mph,North Charter Street
osm2993379354,osm1850595940,89.01,tertiary,asphalt,,,25 mph,North Charter Street
osm1850595940,osm2993379354,89.01,tertiary,asphalt,,,25 mph,North Charter Street
osm1850595940,osm37924361,13.27,tertiary,asphalt,,,25 mph,North Charter Street
osm37924361,osm1850595940,13.27,tertiary,asphalt,,,25 mph,North Charter Street
osm1345151791,osm13363892169,63.93,primary_link,asphalt,,,,
osm2989820122,osm482804887,885.26,primary,asphalt,,,35 mph,Campus Drive
osm53666870,osm5079447981,10.86,tertiary,asphalt,,,25 mph,Walter Street
osm5079447981,osm53666870,10.86,tertiary,asphalt,,,25 mph,Walter Street
osm5079447981,osm8076286506,31.92,tertiary,asphalt,,,25 mph,Walter Street
osm8076286506,osm5079447981,31.92,tertiary,asphalt,,,25 mph,Walter Street
osm8076286506,osm5717759503,224.32,tertiary,asphalt,,,25 mph,Walter Street
osm5717759503,osm8076286506,224.32,tertiary,asphalt,,,25 mph,Walter Street
osm5717759503,osm53278485,8.33,tertiary,asphalt,,,25 mph,Walter Street
osm53278485,osm5717759503,8.33,tertiary,asphalt,,,25 mph,Walter Street
osm53278485,osm5717759502,10.91,tertiary,asphalt,,,25 mph,Walter Street
osm5717759502,osm53278485,10.91,tertiary,asphalt,,,25 mph,Walter Street
osm5717759502,osm11008057772,236.62,tertiary,asphalt,,,25 mph,Walter Street
osm11008057772,osm5717759502,236.62,tertiary,asphalt,,,25 mph,Walter Street
osm11008057772,osm53278491,9.21,tertiary,asphalt,,,25 mph,Walter Street
osm53278491,osm11008057772,9.21,tertiary,asphalt,,,25 mph,Walter Street
osm53278491,osm6355828273,8.71,tertiary,asphalt,,,25 mph,Walter Street
osm6355828273,osm53278491,8.71,tertiary,asphalt,,,25 mph,Walter Street
